company,cik,city,zip,entity_type,incorporated,young_company,industry,revenue_range,first_sale_date,filing_date,is_amendment,total_offering,amount_sold,num_investors,equity,debt,exemptions,related_people,file_num,accession,filing_url
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2025-04-16,2025-05-20,False,100000.0,100000.0,1,True,False,06b,Claudia Lezcano (Director); Igor Kostioutchenko (Executive Officer); Jeff Galletly (Executive Officer/Director); Tim Driscoll (Director); Ashley Davis (Director); Daniel Nauth (Director); Rose Registre (Director); Pat Carey (Director),021-546663,0001062993-25-009844,https://www.sec.gov/Archives/edgar/data/2003006/000106299325009844/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2025-05-12,2025-05-20,False,25000.0,25000.0,1,False,True,06b,Ashley Davis (Director); Pat Carey (Director); Jeff Galletly (Executive Officer/Director); Daniel Nauth (Director); Rose Registre (Director); Tim Driscoll (Director); Claudia Lezcano (Director); Igor Kostioutchenko (Executive Officer),021-546662,0001062993-25-009843,https://www.sec.gov/Archives/edgar/data/2003006/000106299325009843/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2025-05-21,2025-05-30,False,30000.0,30000.0,1,True,False,06b,Ashley Davis (Director); Rose Registre (Director); Claudia Lezcano (Director); Pat Carey (Director); Daniel Nauth (Director); Tim Driscoll (Director); Igor Kostioutchenko (Executive Officer); Jeff Galletly (Executive Officer/Director),021-547647,0001062993-25-010532,https://www.sec.gov/Archives/edgar/data/2003006/000106299325010532/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2025-07-02,2025-07-07,False,25000.0,25000.0,1,False,True,06b,Rose Registre (Director); Jeff Galletly (Executive Officer/Director); Daniel Nauth (Director); Claudia Lezcano (Director); Ashley Davis (Director); Pat Carey (Director); Tim Driscoll (Director); Igor Kostioutchenko (Executive Officer),021-550858,0001062993-25-012584,https://www.sec.gov/Archives/edgar/data/2003006/000106299325012584/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2025-07-10,2025-09-08,False,1000000.0,1000000.0,1,False,True,06b,Jeff Galletly (Executive Officer/Director); Ashley Davis (Director); Igor Kostioutchenko (Executive Officer); Pat Carey (Director); Daniel Nauth (Director); Rose Registre (Director); Tim Driscoll (Director); Claudia Lezcano (Director),021-556905,0001062993-25-015377,https://www.sec.gov/Archives/edgar/data/2003006/000106299325015377/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2025-07-10,2025-09-08,False,75000.0,0.0,2,False,False,06b,Daniel Nauth (Director); Claudia Lezcano (Director); Pat Carey (Director); Igor Kostioutchenko (Executive Officer); Tim Driscoll (Director); Ashley Davis (Director); Jeff Galletly (Executive Officer/Director); Rose Registre (Director),021-556899,0001062993-25-015376,https://www.sec.gov/Archives/edgar/data/2003006/000106299325015376/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2025-10-08,2025-10-14,False,350000.0,350000.0,1,True,False,06b,Daniel Nauth (Director); Rose Registre (Director); Claudia Lezcano (Director); Pat Carey (Director); Igor Kostioutchenko (Executive Officer); Ashley Davis (Director); Jeff Galletly (Executive Officer/Director); Tim Driscoll (Director),021-560666,0001062993-25-016042,https://www.sec.gov/Archives/edgar/data/2003006/000106299325016042/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2025-10-09,2025-10-14,False,100000.0,100000.0,1,True,False,06b,Igor Kostioutchenko (Executive Officer); Ashley Davis (Director); Rose Registre (Director); Jeff Galletly (Executive Officer/Director); Claudia Lezcano (Director); Daniel Nauth (Director); Pat Carey (Director); Tim Driscoll (Director),021-560663,0001062993-25-016041,https://www.sec.gov/Archives/edgar/data/2003006/000106299325016041/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2025-11-05,2025-11-05,False,166667.0,166667.0,1,True,False,06b,Rose Registre (Director); Tim Driscoll (Director); Ashley Davis (Director); Claudia Lezcano (Director); Igor Kostioutchenko (Executive Officer); Jeff Galletly (Executive Officer/Director); Daniel Nauth (Director); Pat Carey (Director),021-563219,0001062993-25-016506,https://www.sec.gov/Archives/edgar/data/2003006/000106299325016506/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2025-11-28,2025-12-10,False,25000.0,25000.0,1,False,True,06b,Pat Carey (Director); Daniel Nauth (Director); Ashley Davis (Director); Claudia Lezcano (Director); Jeff Galletly (Executive Officer/Director); Rose Registre (Director); Igor Kostioutchenko (Executive Officer); Tim Driscoll (Director),021-566393,0001062993-25-017266,https://www.sec.gov/Archives/edgar/data/2003006/000106299325017266/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2025-12-08,2025-12-10,False,30000.0,30000.0,1,False,True,06b,Tim Driscoll (Director); Ashley Davis (Director); Rose Registre (Director); Jeff Galletly (Executive Officer/Director); Pat Carey (Director); Igor Kostioutchenko (Executive Officer); Claudia Lezcano (Director); Daniel Nauth (Director),021-566398,0001062993-25-017269,https://www.sec.gov/Archives/edgar/data/2003006/000106299325017269/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2025-12-24,2025-12-29,False,25000.0,25000.0,1,False,True,06b,Tim Driscoll (Director); Ashley Davis (Director); Rose Registre (Director); Igor Kostioutchenko (Executive Officer); Daniel Nauth (Director); Claudia Lezcano (Director); Jeff Galletly (Executive Officer/Director); Pat Carey (Director),021-568112,0001062993-25-017477,https://www.sec.gov/Archives/edgar/data/2003006/000106299325017477/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2026-01-09,2026-01-14,False,126750.0,126750.0,1,True,False,06b,Claudia Lezcano (Director); Daniel Nauth (Director); Rose Registre (Director); Ashley Davis (Director); Pat Carey (Director); Jeff Galletly (Executive Officer/Director); Tim Driscoll (Director); Igor Kostioutchenko (Executive Officer),021-569942,0001062993-26-000250,https://www.sec.gov/Archives/edgar/data/2003006/000106299326000250/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2026-01-29,2026-01-29,False,75000.0,75000.0,2,True,False,06b,Daniel Nauth (Director); Ashley Davis (Director); Claudia Lezcano (Director); Jeff Galletly (Executive Officer/Director); Rose Registre (Director); Pat Carey (Director); Tim Driscoll (Director); Igor Kostioutchenko (Executive Officer),021-571742,0001062993-26-000486,https://www.sec.gov/Archives/edgar/data/2003006/000106299326000486/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2026-03-04,2026-03-12,False,257000.0,257000.0,4,True,False,06b,Jeff Galletly (Executive Officer/Director); Igor Kostioutchenko (Executive Officer); Ashley Davis (Director); Pat Carey (Director); Tim Driscoll (Director); Rose Registre (Director); Claudia Lezcano (Director); Daniel Nauth (Director),021-576307,0001062993-26-001399,https://www.sec.gov/Archives/edgar/data/2003006/000106299326001399/
